Index,X_Value,Y_Value,Z_Group
1,-0.2920,-5.7220,5.00
2,-0.1860,-5.7220,5.00
3,-0.1150,-5.6110,5.00
4,-0.0350,-5.6110,5.00
5,0.0440,-5.5560,5.00
6,0.1240,-5.5560,5.00
7,0.1860,-5.5560,5.00
8,0.3190,-5.4440,5.00
9,0.3980,-5.3890,5.00
10,0.4870,-5.3330,5.00
11,0.5750,-5.1670,5.00
12,0.6730,-5.0560,5.00
13,0.7520,-4.9440,5.00
14,0.8410,-4.8330,5.00
15,0.9380,-4.6110,5.00
16,1.0620,-4.5000,5.00
17,1.1680,-4.4440,5.00
18,1.2660,-4.3890,5.00
19,1.3720,-4.3330,5.00
20,1.4600,-4.2220,5.00
21,1.5580,-4.2220,5.00
22,1.6370,-4.2220,5.00
23,1.7520,-4.1670,5.00
